SK_ID_CURR,TARGET
100001,0.4
100005,0.8
100013,0.3
100028,0.3
100038,0.7
100042,0.2
100057,0.2
100065,0.6
100066,0.2
100067,0.6
100074,0.6
100090,0.5
100091,0.7
100092,0.7
100106,0.3
100107,0.7
100109,0.4
100117,0.3
100128,0.5
100141,0.4
100150,0.3
100168,0.1
100169,0.4
100170,0.4
100171,0.3
100172,0.6
100184,0.6
100187,0.5
100212,0.4
100222,0.5
100223,0.2
100232,0.3
100241,0.4
100245,0.3
100253,0.3
100256,0.8
100271,0.2
100278,0.8
100280,0.2
100306,0.8
100311,0.8
100312,0.4
100330,0.5
100331,0.4
100352,0.7
100358,0.7
100367,0.4
100382,0.8
100384,0.6
100385,0.6
100386,0.4
100399,0.3
100404,0.5
100416,0.2
100422,0.6
100426,0.4
100438,0.4
100444,0.7
100445,0.7
100446,0.7
100447,0.3
100450,0.5
100466,0.4
100483,0.3
100484,0.2
100494,0.5
100510,0.7
100512,0.4
100517,0.3
100548,0.4
100551,0.3
100552,0.7
100553,0.3
100561,0.8
100568,0.9
100569,0.3
100591,0.5
100592,0.2
100602,0.5
100607,0.5
100613,0.6
100617,0.6
100618,0.5
100622,0.7
100625,0.5
100677,0.7
100699,0.4
100702,0.9
100711,0.5
100729,0.8
100740,0.7
100744,0.7
100745,0.5
100747,0.7
100751,0.8
100752,0.5
100753,0.9
100754,0.8
100760,0.5
100762,0.6
100763,0.4
100765,0.3
100770,0.7
100772,0.3
100777,0.4
100791,0.3
100792,0.2
100797,0.2
100823,0.3
100826,0.4
100830,0.3
100836,0.8
100872,0.4
100910,0.5
100913,0.7
100918,0.6
100931,0.2
100952,0.5
100953,0.3
100965,0.8
100970,0.4
100982,0.7
100983,0.7
100984,0.4
100987,0.6
100997,0.5
100998,0.6
101002,0.7
101005,0.8
101008,0.7
101020,0.6
101021,0.5
101024,0.5
101025,0.8
101026,0.4
101031,0.3
101041,0.4
101051,0.3
101055,0.6
101056,0.9
101057,0.5
101064,0.5
101079,0.7
101087,0.4
101090,0.2
101092,0.7
101097,0.7
101099,0.2
101107,0.5
101118,0.5
101125,0.7
101126,0.3
101128,0.4
101136,0.7
101140,0.6
101149,0.7
101160,0.5
101169,0.8
101181,0.3
101186,0.3
101190,0.7
101193,0.7
101194,0.6
101198,0.8
101200,0.3
101204,0.3
101211,0.4
101213,0.5
101223,0.5
101225,0.6
101237,0.6
101243,0.6
101244,0.8
101258,0.5
101259,0.8
101268,0.8
101269,0.3
101271,0.6
101279,0.4
101281,0.7
101287,0.4
101292,0.3
101294,0.4
101296,0.5
101297,0.3
101299,0.5
101301,0.5
101305,0.6
101308,0.6
101318,0.3
101327,0.8
101329,0.4
101332,0.4
101337,0.5
101343,0.2
101345,0.3
101346,0.1
101353,0.2
101354,0.8
101355,0.8
101356,0.3
101362,0.6
101363,0.8
101365,0.2
101366,0.6
101367,0.8
101368,0.2
101374,0.8
101380,0.2
101383,0.3
101398,0.3
101399,0.9
101401,0.8
101412,0.6
101426,0.4
101427,0.9
101428,0.7
101429,0.7
101434,0.5
101440,0.6
101448,0.5
101449,0.6
101465,0.5
101467,0.3
101472,0.7
101478,0.8
101497,0.5
101504,0.6
101547,0.4
101548,0.6
101555,0.7
101570,0.3
101572,0.5
101578,0.5
101580,0.8
101588,0.7
101602,0.3
101610,0.7
101614,0.5
101616,0.5
101643,0.6
101644,0.2
101649,0.8
101650,0.5
101665,0.1
101667,0.7
101669,0.3
101674,0.6
101675,0.3
101678,0.6
101682,0.7
101686,0.5
101697,0.7
101700,0.9
101711,0.5
101714,0.3
101715,0.8
101728,0.4
101732,0.4
101757,0.7
101758,0.6
101759,0.5
101762,0.3
101764,0.5
101780,0.9
101784,0.3
101789,0.2
101816,0.5
101819,0.4
101827,0.2
101863,0.7
101867,0.6
101870,0.2
101873,0.8
101878,0.7
101879,0.3
101880,0.3
101887,0.6
101897,0.3
101901,0.7
101903,0.9
101920,0.4
101921,0.4
101922,0.4
101961,0.7
101962,0.4
101971,0.5
101976,0.8
102002,0.6
102005,0.3
102007,0.9
102017,0.2
102019,0.8
102029,0.2
102051,0.7
102052,0.2
102054,0.2
102062,0.5
102067,0.7
102068,0.5
102070,0.5
102090,0.6
102092,0.7
102099,0.7
102100,0.2
102112,0.6
102113,0.4
102122,0.7
102123,0.3
102125,0.3
102126,0.8
102146,0.5
102147,0.5
102151,0.3
102158,0.6
102159,0.4
102162,0.6
102165,0.4
102166,0.4
102174,0.3
102193,0.8
102198,0.3
102205,0.6
102206,0.2
102218,0.3
102221,0.4
102230,0.6
102238,0.7
102248,0.3
102252,0.8
102259,0.4
102262,0.7
102273,0.5
102286,0.7
102293,0.3
102294,0.5
102296,0.6
102298,0.5
102303,0.2
102309,0.5
102315,0.4
102340,0.3
102342,0.7
102344,0.6
102346,0.5
102347,0.3
102374,0.2
102380,0.3
102387,0.4
102393,0.5
102403,0.3
102413,0.4
102414,0.1
102415,0.3
102416,0.6
102439,0.6
102441,0.5
102443,0.3
102444,0.6
102445,0.8
102448,0.5
102449,0.5
102450,0.8
102456,0.4
102458,0.5
102459,0.4
102465,0.2
102470,0.8
102471,0.5
102475,0.5
102476,0.7
102506,0.7
102509,0.4
102519,0.4
102522,0.5
102545,0.3
102549,0.6
102562,0.1
102563,0.3
102568,0.7
102582,0.6
102592,0.3
102597,0.8
102605,0.4
102614,0.3
102617,0.5
102634,0.7
102652,0.3
102655,0.1
102671,0.6
102694,0.8
102701,0.4
102703,0.3
102704,0.3
102713,0.1
102720,0.8
102731,0.3
102733,0.6
102749,0.4
102755,0.4
102763,0.4
102770,0.5
102772,0.7
102799,0.8
102838,0.2
102854,0.4
102862,0.6
102863,0.3
102867,0.3
102868,0.2
102878,0.2
102887,0.6
102898,0.8
102904,0.6
102912,0.5
102919,0.3
102927,0.6
102932,0.4
102933,0.7
102935,0.4
102958,0.5
102969,0.6
102971,0.2
102975,0.4
102979,0.5
102982,0.2
102987,0.8
102989,0.6
102995,0.5
102996,0.1
103000,0.3
103001,0.5
103004,0.6
103010,0.3
103025,0.7
103029,0.6
103046,0.5
103056,0.4
103062,0.7
103078,0.3
103083,0.2
103092,0.6
103096,0.5
103097,0.8
103102,0.8
103112,0.7
103132,0.5
103144,0.7
103145,0.6
103146,0.3
103147,0.6
103158,0.3
103171,0.5
103173,0.3
103184,0.3
103195,0.7
103196,0.5
103206,0.3
103230,0.7
103231,0.8
103232,0.4
103239,0.4
103240,0.7
103243,0.4
103252,0.6
103258,0.4
103259,0.8
103279,0.3
103280,0.1
103286,0.3
103287,0.9
103290,0.3
103298,0.5
103315,0.1
103319,0.3
